HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196704], 6754.768736, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196705], 6755.902687, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210946], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196705], 6757.036639, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196705], 6758.170590, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196705], 6759.304541, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196705], 6760.438493, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196705], 6761.572444, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196705], 6762.706396, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805359], DSBB[220.196705], 6763.840347, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6764.974299, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6766.108250, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6767.242202, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6768.376153, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6769.510105, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6770.644056, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6771.778007, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6772.911959, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6774.045910, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6775.179862, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6776.313813, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6777.447765, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6778.581716, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6779.715668, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6780.849619, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6781.983571, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6783.117522, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6784.251473, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6785.385425, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6786.519376, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6787.653328, 725.790859
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6788.787279, 725.790860
HS[243.703482], V, HS[261.876430], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6789.921231, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6791.055182, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6792.189134, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6793.323085, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6794.457037, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6795.590988, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6796.724939, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6797.858891, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6798.992842, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6800.126794, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6801.260745, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6802.394697, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6803.528648, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6804.662600, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196705], 6805.796551, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6806.930503, 725.790860
HS[243.703482], V, HS[261.876431], BB[220.210947], DSHS[243.403585], DSV, DSHS[261.805360], DSBB[220.196706], 6808.064454, 725.790860
